word,word_unicode,category,genre,number,root,affix,tonic,syllables,locale,origin,synonyms,meaning
a,,nombre/femenino,,,a,,0,*a,,./RAE/NombresFemeninos.txt,,
aarónica,aaronica,,,,,,2,a a *ró ni ca,,/usr/share/dict/spanish,,
aarónico,aaronico,,,,,,2,a a *ró ni co,,/usr/share/dict/spanish,,
ab,,,,,,,0,*ab,,/usr/share/dict/spanish,,
abab,,,,,,,1,a *bab,,/usr/share/dict/spanish,,
ababa,,nombre/femenino,,singular,ababa,S,2,a ba *ba,,./RAE/NombresFemeninos.txt,adormidera/amapola/ababol,
ababas,,nombre/femenino,,plural,ababa,S,2,a ba *bas,,./RAE/NombresFemeninos.txt,,
ababilla,ababillá,verbo/regular/conjugado/imperativo/tú/regular,,singular,ababillar,,3,a ba bi *lla,,FreeConj-ababillar,,
ababillaba,,verbo/regular/conjugado/imperfecto_indicativo/él/regular,,singular,ababillar,,4,a ba bi lla *ba,,FreeConj-ababillar,,
ababillabais,,verbo/regular/conjugado/imperfecto_indicativo/vosotros/regular,,plural,ababillar,,4,a ba bi lla *bais,,FreeConj-ababillar,,
ababillaban,,verbo/regular/conjugado/imperfecto_indicativo/ellos/regular,,plural,ababillar,,4,a ba bi lla *ban,,FreeConj-ababillar,,
ababillabas,,verbo/regular/conjugado/imperfecto_indicativo/vos/regular,,singular,ababillar,,4,a ba bi lla *bas,,FreeConj-ababillar,,
ababillad,,verbo/regular/conjugado/imperativo/vosotros/regular,,plural,ababillar,,3,a ba bi *llad,,FreeConj-ababillar,,
ababillamos,,verbo/regular/conjugado/pretérito_indicativo/nosotros/regular,,plural,ababillar,,4,a ba bi lla *mos,,FreeConj-ababillar,,
ababillan,,verbo/regular/conjugado/presente_indicativo/ellos/regular,,plural,ababillar,,3,a ba bi *llan,,FreeConj-ababillar,,
ababillando,,verbo/regular/conjugado/Gerundio//regular,,singular,ababillar,,4,a ba bi llan *do,,FreeConj-ababillar,,
ababillar,,verbo/pronominal/infinitivo,,,ababillar,RED,3,a ba bi *llar,es_CL,./RAE/l10n/es_CL/VerbosPronominales.txt,,
ababillara,ababillará,verbo/regular/conjugado/imperfecto_subjuntivo_(-era)/él/regular,,singular,ababillar,,4,a ba bi lla *ra,,FreeConj-ababillar,,
ababillarais,,verbo/regular/conjugado/imperfecto_subjuntivo_(-era)/vosotros/regular,,plural,ababillar,,4,a ba bi lla *rais,,FreeConj-ababillar,,
ababillaran,ababillarán,verbo/regular/conjugado/imperfecto_subjuntivo_(-era)/ellos/regular,,plural,ababillar,,4,a ba bi lla *ran,,FreeConj-ababillar,,
ababillaras,ababillarás,verbo/regular/conjugado/imperfecto_subjuntivo_(-era)/vos/regular,,singular,ababillar,,4,a ba bi lla *ras,,FreeConj-ababillar,,
ababillare,ababillaré,verbo/regular/conjugado/futuro_subjuntivo/él/regular,,singular,ababillar,,4,a ba bi lla *re,,FreeConj-ababillar,,
ababillareis,ababillaréis,verbo/regular/conjugado/futuro_subjuntivo/vosotros/regular,,plural,ababillar,,4,a ba bi lla *reis,,FreeConj-ababillar,,
ababillaremos,ababilláremos,verbo/regular/conjugado/futuro_indicativo/nosotros/regular,,plural,ababillar,,5,a ba bi lla re *mos,,FreeConj-ababillar,,
